time,open,close,high,low
2024-09-12 15:55:00,126.129,126.124,126.131,126.124
2024-09-12 15:54:00,126.148,126.129,126.151,126.12
2024-09-12 15:53:00,126.102,126.148,126.164,126.102
2024-09-12 15:52:00,126.089,126.102,126.112,126.068
2024-09-12 15:51:00,126.085,126.085,126.103,126.078
2024-09-12 15:50:00,126.106,126.085,126.106,126.058
2024-09-12 15:49:00,126.153,126.106,126.178,126.096
2024-09-12 15:48:00,126.157,126.159,126.172,126.131
2024-09-12 15:47:00,126.196,126.158,126.2,126.151
2024-09-12 15:46:00,126.19,126.196,126.201,126.169
2024-09-12 15:45:00,126.201,126.19,126.212,126.186
2024-09-12 15:44:00,126.242,126.201,126.242,126.198
2024-09-12 15:43:00,126.294,126.242,126.301,126.242
2024-09-12 15:42:00,126.3,126.291,126.314,126.278
2024-09-12 15:41:00,126.274,126.3,126.3,126.248
2024-09-12 15:40:00,126.221,126.276,126.276,126.221
2024-09-12 15:39:00,126.266,126.223,126.27,126.222
2024-09-12 15:38:00,126.364,126.266,126.364,126.266
2024-09-12 15:37:00,126.38,126.364,126.399,126.355
2024-09-12 15:36:00,126.321,126.38,126.39,126.317
2024-09-12 15:35:00,126.323,126.321,126.33,126.291
2024-09-12 15:34:00,126.326,126.323,126.347,126.319
2024-09-12 15:33:00,126.391,126.323,126.402,126.319
2024-09-12 15:32:00,126.352,126.389,126.389,126.338
2024-09-12 15:31:00,126.36,126.352,126.371,126.35
2024-09-12 15:30:00,126.316,126.36,126.36,126.309
2024-09-12 15:29:00,126.331,126.316,126.348,126.309
2024-09-12 15:28:00,126.327,126.328,126.338,126.313
2024-09-12 15:27:00,126.31,126.325,126.335,126.3
2024-09-12 15:26:00,126.358,126.31,126.367,126.307
2024-09-12 15:25:00,126.388,126.356,126.391,126.355
2024-09-12 15:24:00,126.395,126.388,126.398,126.358
2024-09-12 15:23:00,126.382,126.39,126.403,126.366
2024-09-12 15:22:00,126.396,126.382,126.407,126.382
2024-09-12 15:21:00,126.342,126.396,126.409,126.335
2024-09-12 15:20:00,126.336,126.342,126.345,126.3
2024-09-12 15:19:00,126.325,126.336,126.344,126.302
2024-09-12 15:18:00,126.346,126.325,126.355,126.324
2024-09-12 15:17:00,126.349,126.348,126.371,126.341
2024-09-12 15:16:00,126.318,126.349,126.354,126.296
2024-09-12 15:15:00,126.295,126.325,126.325,126.271
2024-09-12 15:14:00,126.262,126.295,126.297,126.256
2024-09-12 15:13:00,126.256,126.259,126.285,126.229
2024-09-12 15:12:00,126.289,126.256,126.289,126.238
2024-09-12 15:11:00,126.359,126.289,126.364,126.279
2024-09-12 15:10:00,126.388,126.361,126.406,126.355
2024-09-12 15:09:00,126.351,126.387,126.387,126.349
2024-09-12 15:08:00,126.325,126.349,126.349,126.298
2024-09-12 15:07:00,126.27,126.327,126.327,126.264
2024-09-12 15:06:00,126.304,126.27,126.317,126.27
2024-09-12 15:05:00,126.288,126.304,126.325,126.288
2024-09-12 15:04:00,126.271,126.288,126.291,126.257
2024-09-12 15:03:00,126.265,126.271,126.291,126.26
2024-09-12 15:02:00,126.251,126.265,126.287,126.25
