time,open,close,high,low
2024-09-12 22:20:00+06:00,126.165,126.167,126.171,126.165
2024-09-12 22:19:00+06:00,126.169,126.165,126.181,126.161
2024-09-12 22:18:00+06:00,126.182,126.169,126.198,126.161
2024-09-12 22:17:00+06:00,126.162,126.182,126.204,126.16
2024-09-12 22:16:00+06:00,126.164,126.163,126.176,126.135
2024-09-12 22:15:00+06:00,126.131,126.162,126.201,126.131
2024-09-12 22:14:00+06:00,126.109,126.131,126.131,126.084
2024-09-12 22:13:00+06:00,126.15,126.109,126.155,126.107
2024-09-12 22:12:00+06:00,126.111,126.15,126.158,126.11
2024-09-12 22:11:00+06:00,126.095,126.111,126.112,126.076
2024-09-12 22:10:00+06:00,126.101,126.095,126.106,126.072
2024-09-12 22:09:00+06:00,126.121,126.101,126.142,126.101
2024-09-12 22:08:00+06:00,126.107,126.121,126.149,126.107
2024-09-12 22:07:00+06:00,126.084,126.107,126.109,126.074
2024-09-12 22:06:00+06:00,126.095,126.084,126.11,126.084
2024-09-12 22:05:00+06:00,126.066,126.095,126.105,126.046
2024-09-12 22:04:00+06:00,126.07,126.063,126.101,126.063
2024-09-12 22:03:00+06:00,126.089,126.068,126.091,126.057
2024-09-12 22:02:00+06:00,126.141,126.089,126.141,126.083
2024-09-12 22:01:00+06:00,126.15,126.141,126.16,126.136
2024-09-12 22:00:00+06:00,126.159,126.15,126.164,126.141
2024-09-12 21:59:00+06:00,126.184,126.159,126.193,126.141
2024-09-12 21:58:00+06:00,126.132,126.178,126.178,126.128
2024-09-12 21:57:00+06:00,126.101,126.133,126.137,126.1
2024-09-12 21:56:00+06:00,126.121,126.101,126.122,126.087
2024-09-12 21:55:00+06:00,126.129,126.121,126.131,126.087
2024-09-12 21:54:00+06:00,126.148,126.129,126.151,126.12
2024-09-12 21:53:00+06:00,126.102,126.148,126.164,126.102
2024-09-12 21:52:00+06:00,126.089,126.102,126.112,126.068
2024-09-12 21:51:00+06:00,126.085,126.085,126.103,126.078
2024-09-12 21:50:00+06:00,126.106,126.085,126.106,126.058
2024-09-12 21:49:00+06:00,126.153,126.106,126.178,126.096
2024-09-12 21:48:00+06:00,126.157,126.159,126.172,126.131
2024-09-12 21:47:00+06:00,126.196,126.158,126.2,126.151
2024-09-12 21:46:00+06:00,126.19,126.196,126.201,126.169
2024-09-12 21:45:00+06:00,126.201,126.19,126.212,126.186
2024-09-12 21:44:00+06:00,126.242,126.201,126.242,126.198
2024-09-12 21:43:00+06:00,126.294,126.242,126.301,126.242
2024-09-12 21:42:00+06:00,126.3,126.291,126.314,126.278
2024-09-12 21:41:00+06:00,126.274,126.3,126.3,126.248
2024-09-12 21:40:00+06:00,126.221,126.276,126.276,126.221
2024-09-12 21:39:00+06:00,126.266,126.223,126.27,126.222
2024-09-12 21:38:00+06:00,126.364,126.266,126.364,126.266
2024-09-12 21:37:00+06:00,126.38,126.364,126.399,126.355
2024-09-12 21:36:00+06:00,126.321,126.38,126.39,126.317
2024-09-12 21:35:00+06:00,126.323,126.321,126.33,126.291
2024-09-12 21:34:00+06:00,126.326,126.323,126.347,126.319
2024-09-12 21:33:00+06:00,126.391,126.323,126.402,126.319
2024-09-12 21:32:00+06:00,126.352,126.389,126.389,126.338
2024-09-12 21:31:00+06:00,126.36,126.352,126.371,126.35
2024-09-12 21:30:00+06:00,126.316,126.36,126.36,126.309
2024-09-12 21:29:00+06:00,126.331,126.316,126.348,126.309
2024-09-12 21:28:00+06:00,126.327,126.328,126.338,126.313
2024-09-12 21:27:00+06:00,126.31,126.325,126.335,126.3
2024-09-12 21:26:00+06:00,126.358,126.31,126.367,126.307
2024-09-12 21:25:00+06:00,126.388,126.356,126.391,126.355
2024-09-12 21:24:00+06:00,126.395,126.388,126.398,126.358
2024-09-12 21:23:00+06:00,126.382,126.39,126.403,126.366
2024-09-12 21:22:00+06:00,126.396,126.382,126.407,126.382
2024-09-12 21:21:00+06:00,126.342,126.396,126.409,126.335
2024-09-12 21:20:00+06:00,126.336,126.342,126.345,126.3
2024-09-12 21:19:00+06:00,126.325,126.336,126.344,126.302
2024-09-12 21:18:00+06:00,126.346,126.325,126.355,126.324
2024-09-12 21:17:00+06:00,126.349,126.348,126.371,126.341
2024-09-12 21:16:00+06:00,126.318,126.349,126.354,126.296
2024-09-12 21:15:00+06:00,126.295,126.325,126.325,126.271
2024-09-12 21:14:00+06:00,126.262,126.295,126.297,126.256
2024-09-12 21:13:00+06:00,126.256,126.259,126.285,126.229
2024-09-12 21:12:00+06:00,126.289,126.256,126.289,126.238
2024-09-12 21:11:00+06:00,126.359,126.289,126.364,126.279
2024-09-12 21:10:00+06:00,126.388,126.361,126.406,126.355
2024-09-12 21:09:00+06:00,126.351,126.387,126.387,126.349
2024-09-12 21:08:00+06:00,126.325,126.349,126.349,126.298
2024-09-12 21:07:00+06:00,126.27,126.327,126.327,126.264
2024-09-12 21:06:00+06:00,126.304,126.27,126.317,126.27
2024-09-12 21:05:00+06:00,126.288,126.304,126.325,126.288
2024-09-12 21:04:00+06:00,126.271,126.288,126.291,126.257
2024-09-12 21:03:00+06:00,126.265,126.271,126.291,126.26
2024-09-12 21:02:00+06:00,126.251,126.265,126.287,126.25
2024-09-12 21:01:00+06:00,126.305,126.251,126.306,126.251
2024-09-12 21:00:00+06:00,126.329,126.305,126.338,126.305
2024-09-12 20:59:00+06:00,126.372,126.329,126.378,126.327
2024-09-12 20:58:00+06:00,126.407,126.372,126.414,126.368
2024-09-12 20:57:00+06:00,126.399,126.407,126.407,126.38
2024-09-12 20:56:00+06:00,126.413,126.399,126.423,126.383
2024-09-12 20:55:00+06:00,126.42,126.411,126.458,126.401
2024-09-12 20:54:00+06:00,126.367,126.417,126.417,126.363
2024-09-12 20:53:00+06:00,126.4,126.367,126.41,126.366
2024-09-12 20:52:00+06:00,126.381,126.4,126.417,126.359
2024-09-12 20:51:00+06:00,126.371,126.383,126.405,126.345
2024-09-12 20:50:00+06:00,126.351,126.371,126.379,126.349
2024-09-12 20:49:00+06:00,126.402,126.353,126.402,126.342
2024-09-12 20:48:00+06:00,126.37,126.402,126.409,126.369
2024-09-12 20:47:00+06:00,126.379,126.372,126.381,126.341
2024-09-12 20:46:00+06:00,126.429,126.38,126.431,126.373
2024-09-12 20:45:00+06:00,126.425,126.429,126.446,126.409
2024-09-12 20:44:00+06:00,126.42,126.425,126.442,126.409
2024-09-12 20:43:00+06:00,126.451,126.42,126.451,126.419
2024-09-12 20:42:00+06:00,126.462,126.451,126.492,126.442
2024-09-12 20:41:00+06:00,126.431,126.462,126.471,126.424
2024-09-12 20:40:00+06:00,126.403,126.431,126.435,126.403
2024-09-12 20:39:00+06:00,126.412,126.403,126.427,126.401
2024-09-12 20:38:00+06:00,126.412,126.414,126.416,126.382
2024-09-12 20:37:00+06:00,126.432,126.417,126.44,126.407
2024-09-12 20:36:00+06:00,126.391,126.434,126.446,126.39
2024-09-12 20:35:00+06:00,126.401,126.391,126.417,126.378
2024-09-12 20:34:00+06:00,126.454,126.401,126.461,126.401
2024-09-12 20:33:00+06:00,126.469,126.453,126.469,126.426
2024-09-12 20:32:00+06:00,126.442,126.467,126.473,126.423
2024-09-12 20:31:00+06:00,126.479,126.441,126.479,126.436
2024-09-12 20:30:00+06:00,126.464,126.479,126.51,126.464
2024-09-12 20:29:00+06:00,126.469,126.463,126.471,126.442
2024-09-12 20:28:00+06:00,126.471,126.469,126.492,126.458
2024-09-12 20:27:00+06:00,126.512,126.471,126.512,126.463
2024-09-12 20:26:00+06:00,126.473,126.512,126.512,126.463
2024-09-12 20:25:00+06:00,126.481,126.471,126.488,126.459
2024-09-12 20:24:00+06:00,126.451,126.478,126.482,126.443
2024-09-12 20:23:00+06:00,126.458,126.449,126.466,126.437
2024-09-12 20:22:00+06:00,126.445,126.458,126.467,126.434
2024-09-12 20:21:00+06:00,126.441,126.445,126.46,126.432
2024-09-12 20:20:00+06:00,126.446,126.441,126.456,126.423
2024-09-12 20:19:00+06:00,126.41,126.447,126.449,126.41
2024-09-12 20:18:00+06:00,126.354,126.412,126.424,126.354
2024-09-12 20:17:00+06:00,126.351,126.354,126.383,126.331
2024-09-12 20:16:00+06:00,126.356,126.351,126.362,126.338
2024-09-12 20:15:00+06:00,126.377,126.355,126.382,126.336
2024-09-12 20:14:00+06:00,126.4,126.377,126.4,126.341
2024-09-12 20:13:00+06:00,126.483,126.4,126.483,126.399
2024-09-12 20:12:00+06:00,126.525,126.474,126.529,126.471
2024-09-12 20:11:00+06:00,126.51,126.527,126.546,126.504
2024-09-12 20:10:00+06:00,126.498,126.51,126.528,126.498
2024-09-12 20:09:00+06:00,126.468,126.498,126.515,126.463
2024-09-12 20:08:00+06:00,126.489,126.468,126.489,126.45
2024-09-12 20:07:00+06:00,126.526,126.489,126.526,126.483
2024-09-12 20:06:00+06:00,126.527,126.526,126.541,126.501
2024-09-12 20:05:00+06:00,126.496,126.527,126.551,126.496
2024-09-12 20:04:00+06:00,126.511,126.496,126.519,126.494
2024-09-12 20:03:00+06:00,126.502,126.511,126.511,126.469
2024-09-12 20:02:00+06:00,126.426,126.502,126.502,126.426
2024-09-12 20:01:00+06:00,126.415,126.43,126.471,126.415
2024-09-12 20:00:00+06:00,126.363,126.408,126.413,126.354
2024-09-12 19:59:00+06:00,126.371,126.362,126.376,126.341
2024-09-12 19:58:00+06:00,126.357,126.371,126.381,126.349
2024-09-12 19:57:00+06:00,126.334,126.357,126.384,126.334
2024-09-12 19:56:00+06:00,126.333,126.33,126.362,126.33
2024-09-12 19:55:00+06:00,126.309,126.333,126.342,126.291
2024-09-12 19:54:00+06:00,126.28,126.309,126.32,126.28
2024-09-12 19:53:00+06:00,126.31,126.28,126.322,126.275
2024-09-12 19:52:00+06:00,126.331,126.31,126.331,126.291
2024-09-12 19:51:00+06:00,126.351,126.331,126.366,126.328
2024-09-12 19:50:00+06:00,126.389,126.351,126.404,126.349
2024-09-12 19:49:00+06:00,126.33,126.389,126.397,126.33
2024-09-12 19:48:00+06:00,126.329,126.33,126.346,126.306
2024-09-12 19:47:00+06:00,126.337,126.329,126.346,126.317
2024-09-12 19:46:00+06:00,126.344,126.337,126.353,126.332
2024-09-12 19:45:00+06:00,126.373,126.344,126.383,126.335
2024-09-12 19:44:00+06:00,126.28,126.373,126.383,126.278
2024-09-12 19:43:00+06:00,126.336,126.28,126.339,126.271
2024-09-12 19:42:00+06:00,126.355,126.336,126.383,126.333
