time,open,close,high,low
2024-09-13 03:00:00+06:00,126.604,126.8,126.812,126.412
2024-09-13 02:00:00+06:00,126.665,126.606,126.685,126.475
2024-09-13 01:00:00+06:00,126.397,126.669,126.745,126.37
2024-09-13 00:00:00+06:00,126.242,126.397,126.554,126.234
2024-09-12 23:00:00+06:00,126.096,126.242,126.305,126.092
2024-09-12 22:00:00+06:00,126.159,126.096,126.204,125.98
2024-09-12 21:00:00+06:00,126.329,126.159,126.409,126.058
2024-09-12 20:00:00+06:00,126.363,126.329,126.551,126.327
2024-09-12 19:00:00+06:00,126.148,126.362,126.404,126.123
2024-09-12 18:00:00+06:00,126.332,126.151,126.427,126.133
2024-09-12 17:00:00+06:00,126.377,126.327,126.67,126.319
2024-09-12 16:00:00+06:00,126.485,126.377,126.566,126.309
2024-09-12 15:00:00+06:00,126.563,126.485,126.606,126.31
2024-09-12 14:00:00+06:00,126.645,126.565,126.687,126.455
2024-09-12 13:00:00+06:00,126.492,126.645,126.806,126.47
2024-09-12 12:00:00+06:00,126.214,126.492,126.553,126.159
2024-09-12 11:00:00+06:00,126.534,126.214,126.6,126.17
2024-09-12 10:00:00+06:00,126.411,126.536,126.665,126.345
2024-09-12 09:00:00+06:00,126.675,126.411,126.68,126.326
2024-09-12 08:00:00+06:00,126.858,126.675,126.921,126.495
2024-09-12 07:00:00+06:00,126.77,126.858,126.972,126.692
2024-09-12 06:00:00+06:00,126.801,126.772,126.882,126.63
2024-09-12 05:00:00+06:00,126.505,126.801,126.933,126.496
2024-09-12 04:00:00+06:00,126.228,126.505,126.533,126.208
2024-09-12 03:00:00+06:00,126.113,126.23,126.391,126.046
2024-09-12 02:00:00+06:00,125.678,126.119,126.124,125.675
2024-09-12 01:00:00+06:00,125.601,125.678,125.747,125.503
2024-09-12 00:00:00+06:00,125.477,125.601,125.76,125.422
2024-09-11 23:00:00+06:00,125.552,125.477,125.622,125.186
2024-09-11 22:00:00+06:00,125.962,125.554,125.997,125.492
2024-09-11 21:00:00+06:00,126.56,125.958,126.69,125.958
2024-09-11 20:00:00+06:00,126.634,126.56,126.867,126.479
2024-09-11 19:00:00+06:00,126.613,126.634,126.88,126.554
2024-09-11 18:00:00+06:00,126.194,126.613,126.654,126.158
2024-09-11 17:00:00+06:00,126.538,126.194,126.546,125.941
2024-09-11 16:00:00+06:00,126.599,126.538,126.648,126.454
2024-09-11 15:00:00+06:00,126.873,126.597,127.104,126.584
2024-09-11 14:00:00+06:00,126.813,126.873,127.135,126.745
2024-09-11 13:00:00+06:00,126.615,126.81,126.83,126.533
2024-09-11 12:00:00+06:00,126.787,126.615,126.961,126.573
2024-09-11 11:00:00+06:00,126.608,126.787,126.954,126.586
2024-09-11 10:00:00+06:00,126.622,126.608,126.863,126.482
2024-09-11 09:00:00+06:00,126.769,126.623,127.063,126.622
2024-09-11 08:00:00+06:00,126.296,126.769,126.833,126.287
2024-09-11 07:00:00+06:00,126.498,126.296,126.749,126.285
2024-09-11 06:00:00+06:00,126.192,126.499,126.572,126.166
2024-09-11 05:00:00+06:00,126.031,126.192,126.247,125.798
2024-09-11 04:00:00+06:00,125.667,126.031,126.098,125.621
2024-09-11 03:00:00+06:00,125.794,125.66,125.946,125.591
2024-09-11 02:00:00+06:00,125.825,125.789,126.011,125.755
2024-09-11 01:00:00+06:00,125.691,125.825,125.976,125.634
2024-09-11 00:00:00+06:00,126.149,125.691,126.214,125.606
2024-09-10 23:00:00+06:00,126.298,126.149,126.331,126.123
2024-09-10 22:00:00+06:00,125.897,126.298,126.302,125.838
2024-09-10 21:00:00+06:00,126.028,125.901,126.053,125.733
2024-09-10 20:00:00+06:00,125.993,126.028,126.148,125.855
2024-09-10 19:00:00+06:00,125.991,125.993,126.189,125.788
2024-09-10 18:00:00+06:00,125.75,125.987,126.118,125.703
2024-09-10 17:00:00+06:00,125.535,125.75,125.791,125.372
2024-09-10 16:00:00+06:00,125.621,125.538,125.763,125.46
2024-09-10 15:00:00+06:00,125.679,125.62,125.682,125.454
2024-09-10 14:00:00+06:00,125.866,125.687,125.938,125.653
2024-09-10 13:00:00+06:00,125.836,125.871,126.032,125.782
2024-09-10 12:00:00+06:00,126.035,125.836,126.055,125.797
2024-09-10 11:00:00+06:00,125.951,126.028,126.073,125.835
2024-09-10 10:00:00+06:00,126.152,125.951,126.222,125.947
2024-09-10 09:00:00+06:00,125.972,126.152,126.198,125.817
2024-09-10 08:00:00+06:00,125.882,125.972,126.018,125.742
2024-09-10 07:00:00+06:00,125.931,125.882,126.116,125.688
2024-09-10 06:00:00+06:00,125.853,125.931,126.131,125.8
2024-09-10 05:00:00+06:00,125.861,125.855,125.986,125.662
2024-09-10 04:00:00+06:00,125.466,125.864,125.898,125.439
2024-09-10 03:00:00+06:00,125.819,125.466,125.867,125.414
2024-09-10 02:00:00+06:00,125.913,125.819,126.077,125.693
2024-09-10 01:00:00+06:00,129.252,125.911,129.445,125.705
2024-09-10 00:00:00+06:00,129.283,129.252,129.463,129.204
2024-09-09 23:00:00+06:00,129.404,129.285,129.488,129.277
2024-09-09 22:00:00+06:00,129.151,129.404,129.478,129.109
2024-09-09 21:00:00+06:00,129.185,129.151,129.333,129.068
2024-09-09 20:00:00+06:00,129.535,129.185,129.571,129.096
2024-09-09 19:00:00+06:00,129.398,129.535,129.552,129.302
2024-09-09 18:00:00+06:00,129.34,129.399,129.511,129.322
2024-09-09 17:00:00+06:00,128.755,129.337,129.377,128.721
2024-09-09 16:00:00+06:00,128.63,128.755,128.798,128.389
2024-09-09 15:00:00+06:00,128.358,128.63,128.659,128.127
2024-09-09 14:00:00+06:00,128.079,128.358,128.418,128.06
2024-09-09 13:00:00+06:00,127.947,128.077,128.124,127.832
2024-09-09 12:00:00+06:00,128.278,127.944,128.303,127.847
2024-09-09 11:00:00+06:00,128.172,128.278,128.424,128.122
2024-09-09 10:00:00+06:00,127.676,128.169,128.204,127.594
2024-09-09 09:00:00+06:00,128.113,127.676,128.155,127.636
2024-09-09 08:00:00+06:00,128.143,128.113,128.422,128.032
2024-09-09 07:00:00+06:00,128.034,128.143,128.21,127.951
2024-09-09 06:00:00+06:00,128.268,128.034,128.394,128.03
2024-09-09 05:00:00+06:00,128.488,128.268,128.488,128.221
2024-09-09 04:00:00+06:00,128.704,128.488,128.741,128.427
2024-09-09 03:00:00+06:00,128.588,128.704,128.854,128.53
2024-09-09 02:00:00+06:00,128.882,128.588,128.952,128.506
2024-09-09 01:00:00+06:00,128.657,128.878,128.925,128.627
2024-09-09 00:00:00+06:00,128.904,128.657,129.083,128.592
2024-09-08 23:00:00+06:00,128.877,128.913,129.002,128.81
2024-09-08 22:00:00+06:00,128.556,128.88,128.951,128.548
2024-09-08 21:00:00+06:00,128.57,128.558,128.719,128.241
2024-09-08 20:00:00+06:00,128.929,128.57,128.958,128.503
2024-09-08 19:00:00+06:00,128.817,128.929,129.154,128.811
2024-09-08 18:00:00+06:00,128.52,128.819,128.965,128.52
2024-09-08 17:00:00+06:00,128.545,128.52,128.59,128.293
2024-09-08 16:00:00+06:00,128.424,128.543,128.586,128.286
2024-09-08 15:00:00+06:00,128.699,128.422,128.754,128.366
2024-09-08 14:00:00+06:00,128.256,128.708,128.715,128.135
2024-09-08 13:00:00+06:00,128.232,128.256,128.322,128.102
2024-09-08 12:00:00+06:00,127.864,128.229,128.288,127.84
2024-09-08 11:00:00+06:00,128.245,127.864,128.406,127.851
2024-09-08 10:00:00+06:00,128.242,128.245,128.31,128.073
2024-09-08 09:00:00+06:00,128.008,128.242,128.244,127.894
2024-09-08 08:00:00+06:00,127.705,128.008,128.15,127.698
2024-09-08 07:00:00+06:00,127.75,127.705,127.972,127.678
2024-09-08 06:00:00+06:00,127.776,127.75,128.062,127.617
2024-09-08 05:00:00+06:00,127.733,127.776,127.838,127.342
2024-09-08 04:00:00+06:00,127.697,127.733,127.948,127.514
